5201,243,Hampshire St,243 Hampshire St,POINT (-71.10110988201615 42.37410201015169)
5393,251,Hampshire St,251 Hampshire St,POINT (-71.10128916893295 42.374269917297724)
5530,25,Jay St,25 Jay St,POINT (-71.11031132345762 42.36528083173509)
5722,26,Pleasant St,26 Pleasant St,POINT (-71.10724820431416 42.36473809853874)
5743,22,Soden St,22 Soden St,POINT (-71.10840286814845 42.36608715387967)
5991,28,Howard St,28 Howard St,POINT (-71.11069578376824 42.36491988804986)
6124,27,Kinnaird St,27 Kinnaird St,POINT (-71.1092670330424 42.365323434864834)
6370,30,Hancock St,30 Hancock St,POINT (-71.10962344584155 42.367505043289825)
6433,249,River St,249 River St,POINT (-71.11207984841091 42.36286957612595)
6468,318,Franklin St,318 Franklin St,POINT (-71.10706501782562 42.36551966721491)
6572,321,Franklin St,321 Franklin St,POINT (-71.10698131512014 42.365700624245854)
6592,324,Franklin St,324 Franklin St,POINT (-71.1072330330107 42.3656227828297)
6653,32,Hancock St,32 Hancock St,POINT (-71.10960693393147 42.36754058276271)
6665,32,Kinnaird St,32 Kinnaird St,POINT (-71.10901070974981 42.36561252632288)
6920,34,Hancock St,34 Hancock St,POINT (-71.10953530803152 42.36761146674509)
6930,34,Kinnaird St,34 Kinnaird St,POINT (-71.10901668655055 42.365688107691724)
6954,34,Soden St,34 Soden St,POINT (-71.10843221950994 42.366279746761045)
6998,345,Franklin St,345 Franklin St,POINT (-71.10760166905251 42.366084338690754)
7130,369,Franklin St,369 Franklin St,POINT (-71.10802315361046 42.3663278574849)
7186,36,Kinnaird St,36 Kinnaird St,POINT (-71.10902783839485 42.365777097512066)
7229,359,Green St,359 Green St,POINT (-71.10560264838983 42.36569708176481)
7347,382,Franklin St,382 Franklin St,POINT (-71.10847382184824 42.36635858152142)
7404,38,Kinnaird St,38 Kinnaird St,POINT (-71.10884972154524 42.365845591613486)
7634,3,Soden St,3 Soden St,POINT (-71.10806683336936 42.365324083263715)
7725,40,Kinnaird St,40 Kinnaird St,POINT (-71.1090441774206 42.36589030376244)
7873,429,Franklin St,429 Franklin St,POINT (-71.10905613374331 42.36709682270277)
7903,42,Kinnaird St,42 Kinnaird St,POINT (-71.10906746011977 42.365963533878904)
8003,441,Franklin St,441 Franklin St,POINT (-71.10938962955122 42.36705797761861)
8041,44,Kinnaird St,44 Kinnaird St,POINT (-71.10908434695295 42.3660721955336)
8073,454,Green St,454 Green St,POINT (-71.10753759504507 42.36666335090546)
8074,457,Franklin St,457 Franklin St,POINT (-71.10963674397843 42.36719137559484)
8179,46,Kinnaird St,46 Kinnaird St,POINT (-71.10908923669695 42.366175381380486)
8305,489,Green St,489 Green St,POINT (-71.1083160740859 42.36727658231483)
8349,48,Kinnaird St,48 Kinnaird St,POINT (-71.10914744052286 42.36628995066918)
8388,491,Green St,491 Green St,POINT (-71.10842826605797 42.367331959194104)
8394,495,Green St,495 Green St,POINT (-71.10848492326949 42.36736647007112)
