3767,18,Clary St,18 Clary St,-71.09834404523838000000,42.37399274527462000000
3315,16,Springfield St,16 Springfield St,-71.10052777922043000000,42.37418206019869000000
524,26,Soden St,26 Soden St,-71.10840671697260000000,42.366127686178130000000
525,411,Franklin St,411 Franklin St,-71.10867005053451000000,42.3667835488906000000
559,348,Franklin St,348 Franklin St,-71.10782808807518000000,42.366000723454675000000
560,466,Green St,466 Green St,-71.10782557509272000000,42.36681997107502000000
561,332,Franklin St,332 Franklin St,-71.10742209323338000000,42.36573243138392000000
564,806,Massachusetts Ave,806 Massachusetts Ave,-71.10622062455490000000,42.3667437674499540000000
566,770,Massachusetts Ave,770 Massachusetts Ave,-71.10586085205192000000,42.36645369626132000000
568,5,Western Ave,5 Western Ave,-71.10546654193786000000,42.36530714191783000000
573,838,Massachusetts Ave,838 Massachusetts Ave,-71.10689593340258000000,42.36720593651219000000
574,842,Massachusetts Ave,842 Massachusetts Ave,-71.10701903463045000000,42.36729551161952000000
1040,101,Western Ave,101 Western Ave,-71.10758318513001000000,42.36523689163681000000
1174,109,River St,109 River St,-71.10841188736048000000,42.36428986213756000000
8,29,Kinnaird St,29 Kinnaird St,-71.10928551405804000000,42.36540104113263000000
470,900,Memorial Dr,900 Memorial Dr,-71.11432390850322000000,42.36706942933423000000
470,900,Memorial Dr,900 Memorial Dr,-71.11529496167334000000,42.366809032496384000000
470,900,Memorial Dr,900 Memorial Dr,-71.11498724329316000000,42.36623045313204000000
470,900,Memorial Dr,900 Memorial Dr,-71.11546458210213000000,42.36593654723421000000
470,900,Memorial Dr,900 Memorial Dr,-71.11381567865716000000,42.36690842836006000000
1996,12,Howard St,12 Howard St,-71.11052479607916000000,42.36390162503469000000
1628,11-A,Jay St,11-A Jay St,-71.11010920387663000000,42.36419060269188000000
2181,135,Western Ave,135 Western Ave,-71.10856713816364000000,42.36506557354032000000
2323,13,Pleasant St,13 Pleasant St,-71.10639574007298000000,42.365728406934714000000
2648,14,Soden St,14 Soden St,-71.10837264898895000000,42.36580435651609000000
2337,13,Soden St,13 Soden St,-71.10812243637004000000,42.36571047588366000000
2397,141,Western Ave,141 Western Ave,-71.10868624051488000000,42.3650349459296000000
2983,15,Pleasant St,15 Pleasant St,-71.10655368255470000000,42.365584541333660000000
3313,16,Soden St,16 Soden St,-71.10836252209067000000,42.365893303657494000000
4184,1,Jay Street Pl,1 Jay Street Pl,-71.10959967479661000000,42.36542792001638000000
4356,208,Western Ave,208 Western Ave,-71.11041395396961000000,42.364666329548236000000
4495,20,Soden St,20 Soden St,-71.10839586419621000000,42.36602169991051000000
4898,22,Hancock St,22 Hancock St,-71.10982886636796000000,42.36732641138484000000
455,40,Granite St,40 Granite St,-71.11100340990224000000,42.35503147915497000000
569,255,Franklin St,255 Franklin St,-71.10532156473425000000,42.364704041106464000000
3493,179,Prospect St,179 Prospect St,-71.10086001097307000000,42.369834907459776000000
3677,183,Prospect St,183 Prospect St,-71.10080551702558000000,42.36992000695859000000
3898,195,Prospect St,195 Prospect St,-71.10083350073040000000,42.370163752093190000000
3910,192,Hampshire St,192 Hampshire St,-71.09994136998627000000,42.3728464133386000000
4003,199,Prospect St,199 Prospect St,-71.10050234690597000000,42.370345236276776000000
4136,1,Amory Pl,1 Amory Pl,-71.10205150779548000000,42.37041356497551000000
4297,203,Prospect St,203 Prospect St,-71.10085790006751000000,42.37048049796323000000
4348,207,Prospect St,207 Prospect St,-71.10052363648558000000,42.370543384840666000000
4543,212,Hampshire St,212 Hampshire St,-71.10053265795557000000,42.37332256753152000000
617,280,Harvard St,280 Harvard St,-71.10420749918902000000,42.36902690988704000000
575,5,Clinton St,5 Clinton St,-71.10654085111400000000,42.3680554425420500000000
576,25,Lee St,25 Lee St,-71.10668637861347000000,42.36909893069002000000
577,831,Massachusetts Ave,831 Massachusetts Ave,-71.10646142193777000000,42.36721119472791000000
579,2,Clinton St,2 Clinton St,-71.10646599384685000000,42.36767934125542000000
580,15,Clinton St,15 Clinton St,-71.10612790796527000000,42.36856813676589000000
582,298,Harvard St,298 Harvard St,-71.10572697685590000000,42.369545838646680000000
583,11,Inman St,11 Inman St,-71.10505607372447000000,42.3672982997891000000
585,292,Harvard St,292 Harvard St,-71.10525691474889000000,42.36944534445159000000
586,15,Inman St,15 Inman St,-71.10492590260806000000,42.3674494879958000000
615,145,Bishop Allen Dr,145 Bishop Allen Dr,-71.10413889767044000000,42.36702732244724000000
619,5,Austin Pk,5 Austin Pk,-71.10381212948472000000,42.3673303276556000000
621,266,Harvard St,266 Harvard St,-71.10296270359886000000,42.36833575101114000000
622,273,Harvard St,273 Harvard St,-71.10311049411092000000,42.368981824814085000000
623,99,Prospect St,99 Prospect St,-71.10249579548395000000,42.367735514560195000000
570,8,Inman St,8 Inman St,-71.10512470288712000000,42.3669122323985000000
1291,10,St Paul St,10 St Paul St,-71.10339165036230000000,42.367684235137880000000
1668,11,St Paul St,11 St Paul St,-71.10323721565051000000,42.367977987249915000000
2002,731,Massachusetts Ave,731 Massachusetts Ave,-71.10498643557439000000,42.366345423366845000000
2003,12,Inman St,12 Inman St,-71.10498630213881000000,42.367054379662385000000
2045,12,St Paul St,12 St Paul St,-71.10362016069882000000,42.367737926366054000000
2644,14,St Paul St,14 St Paul St,-71.10353495562231000000,42.36782977342129000000
2693,151,Bishop Allen Dr,151 Bishop Allen Dr,-71.10456442829404000000,42.36734843019125000000
2422,143,Prospect St,143 Prospect St,-71.10161050961287000000,42.36876023577727000000
2456,145,Prospect St,145 Prospect St,-71.10184005963096000000,42.368881548321255000000
2480,147,Bishop Allen Dr,147 Bishop Allen Dr,-71.10438083168566000000,42.367168660754146000000
2492,147,Prospect St,147 Prospect St,-71.10186896302360000000,42.36907811333220000000
2529,149,Prospect St,149 Prospect St,-71.10149023354053000000,42.368930397279314000000
2779,332-1,Broadway,332-1 Broadway,-71.10217928804810000000,42.369405903579870000000
2780,155,Prospect St,155 Prospect St,-71.10136497347064000000,42.36904558610554000000
2998,15,St Paul St,15 St Paul St,-71.10316748798705000000,42.36808218352907000000
3308,16,St Paul St,16 St Paul St,-71.10346798913567000000,42.36794098092826000000
